gene Fam Hos Lab Res Wild
Pame_00988.t1 5.4086908359505 5.81769039968347 5.17301678410336 5.58743233907332 4.38613227232867
Pame_00989.t1 2.9642036425355 2.92349196687348 2.56894813530315 3.0629591190957 2.94874907576186
Pame_00992.t1 5.78757234546786 6.08426698203895 5.61970739929497 6.00229985013116 6.07978286073275
Pame_00994.t1 4.79530496141528 3.10994071086574 5.59526307079842 4.19682223398306 6.91198980833925
Pame_00995.t1 4.72960532849224 5.03566566678349 4.69320273591621 4.88677007764028 4.63748697585886
Pame_00996.t1 4.17650316602154 4.62000820600504 3.59791197223202 4.4849345661574 4.30057278421937
Pame_00998.t1 1.94655810684917 2.1694216073453 1.90572433001239 2.2876577358049 0.983859245920596
Pame_01000.t1 2.97387050048985 3.01660390736511 2.82448477475449 3.21257608553723 3.44460025476749
Pame_01002.t1 3.13939854763578 3.39546877425002 2.51157760957523 3.47475543246348 4.17753527607978
Pame_01003.t2 4.00945823084639 4.53283630627679 3.36476676660356 4.3398923319693 4.18250192623136
Pame_01004.t1 5.87913200120002 6.37572511828179 5.68792103175753 6.08662235483699 5.85783330707732
Pame_01005.t1 2.05163177775216 2.59547502342451 1.38304005072708 2.33701546456429 3.00607237760222
Pame_01006.t1 1.64820332479478 1.8823524330126 1.40409292874666 1.79415565048222 1.75640882336143
Pame_01007.t1 2.38894057086535 2.81351402445071 2.03489243680926 2.67885678064707 2.3209045080564
Pame_01009.t1 1.48443190214768 1.72357278300969 1.31091120320801 1.68185906749149 1.71532363561679
Pame_01012.t1 2.56075658313445 3.25081356631951 2.01919180016734 2.83146379054459 2.73640490482426
Pame_01013.t1 3.17053743729237 3.92972352576468 2.56683343504296 3.4477096126829 3.33770018240073
Pame_01014.t1 10.5962394489479 10.8412615939691 10.4217007801087 10.7224622149572 10.027245413244
Pame_01032.t1 2.72578218135861 2.7142665633922 2.3410979978059 2.89345637233995 3.45608387962807
Pame_01033.t1 1.37649468483294 1.98964109174486 1.12265402451504 1.79996873458896 1.68339274358373
Pame_01051.t1 4.14869902824868 4.5486886285832 3.89934961673733 4.40922172409506 4.29802924050629
Pame_01052.t1 1.56149712657097 2.51473521129348 1.4535374699038 1.85702888003192 1.66898507581969
Pame_01053.t1 4.18607075044422 4.53045384092404 3.95114092449405 4.51728389916923 5.09868902060316
Pame_01054.t1 2.54714503945235 2.97263042287695 2.1713285372404 2.86033497216986 3.33699560225008
Pame_01055.t1 2.99871402165716 3.24619529775231 2.42226622810801 3.17205814489349 2.59427927800014
Pame_01056.t1 3.25038640009832 3.73850062764566 2.82956658781582 3.43596440780356 3.82478212111159
Pame_01057.t1 4.06459362318446 4.01100808887116 3.89519724973346 4.13175880898517 3.094063339072
Pame_01058.t1 6.53394607351298 6.73204644035108 6.41436872386614 7.0353256554771 5.87535721327308
Pame_01059.t1 3.09235611064494 3.72327356105829 2.67271658518565 3.53741494689819 3.75640320425282
Pame_01060.t1 4.343929498305 4.53351063878942 4.22484262315106 4.47332562522364 4.39809881069477
Pame_01068.t1 5.24129689298704 5.30923902098105 4.74123232270963 5.2240245878571 7.12033664752775
Pame_01073.t1 3.17594826147563 3.19298321304538 2.87787207489582 3.18714719849665 4.00607467894774
Pame_01075.t1 4.04214516082271 4.22995184633534 3.69790842534788 4.34589896360767 4.86731153328698
